id,inflection_class,pattern
1380,202,15
1381,202,188
1382,202,284
1383,202,363
1384,202,538
1385,202,636
1386,202,833
1387,202,882
1388,202,924
1389,203,0
1390,203,14
1391,203,187
1392,203,304
1393,203,362
1394,203,537
1395,203,656
1396,203,826
1397,203,874
1398,203,924
1399,204,3
1400,204,145
1401,204,474
1402,205,0
1403,205,79
1404,205,117
1405,205,235
1406,205,429
1407,205,467
1408,205,586
1409,205,857
1410,205,906
1411,205,924
1412,206,3
1413,206,190
1414,206,306
1415,206,540
1416,206,658
1417,206,924
1418,207,1
1419,207,159
1420,207,276
1421,207,508
1422,207,627
1423,207,924
1424,208,1
1425,208,51
1426,208,191
1427,208,307
1428,208,401
1429,208,541
1430,208,659
1431,208,834
1432,208,883
1433,208,924
1434,209,2
1435,209,20
1436,209,130
1437,209,246
1438,209,394
1439,209,513
1440,209,632
1441,209,837
1442,209,886
1443,209,924
1444,210,2
1445,210,63
1446,210,369
1447,211,3
1448,211,13
1449,211,369
1450,212,1
1451,212,19
1452,212,367
1453,213,3
1454,213,120
1455,213,238
1456,213,468
1457,213,587
1458,213,924
1459,214,0
1460,214,162
1461,214,279
1462,214,511
1463,214,630
1464,214,924
1465,215,0
1466,215,22
1467,215,192
1468,215,308
1469,215,371
1470,215,542
1471,215,660
1472,215,837
1473,215,886
1474,215,924
1475,216,1
1476,216,29
1477,216,379
1478,217,0
1479,217,80
1480,217,430
1481,218,1
1482,218,24
1483,218,374
1484,219,714
1485,219,731
1486,219,759
1487,219,785
1488,219,812
1489,219,924
1490,220,1
1491,220,142
1492,220,259
1493,220,492
1494,220,611
1495,220,924
1496,221,1
1497,221,126
1498,221,243
1499,221,477
1500,221,595
1501,221,924
1502,222,0
1503,222,152
1504,222,269
1505,222,501
1506,222,620
1507,222,924
1508,223,388
1509,223,479
1510,223,597
1511,223,826
1512,223,874
1513,223,924
1514,224,376
1515,224,479
1516,224,597
1517,224,829
1518,224,877
1519,224,924
1520,225,1
1521,225,20
1522,225,136
1523,225,253
1524,225,369
1525,225,486
1526,225,605
1527,225,842
1528,225,890
1529,225,924
1530,226,2
1531,226,62
1532,226,368
1533,227,2
1534,227,20
1535,227,118
1536,227,236
1537,227,394
1538,227,474
1539,227,594
1540,227,829
1541,227,877
1542,227,924
1543,228,1
1544,228,36
1545,228,140
1546,228,387
1547,228,490
1548,228,826
1549,229,1
1550,229,16
1551,229,193
1552,229,309
1553,229,431
1554,229,543
1555,229,661
1556,229,830
1557,229,878
1558,229,924
1559,230,1
1560,230,38
1561,230,140
1562,230,257
1563,230,389
1564,230,490
1565,230,609
1566,230,833
1567,230,882
1568,230,924
1569,231,0
1570,231,125
1571,231,242
1572,231,355
1573,231,476
1574,231,593
1575,231,708
1576,231,924
1577,231,933
1578,231,935
1579,232,1
1580,232,18
1581,232,174
1582,232,291
1583,232,366
1584,232,523
1585,232,643
1586,232,852
1587,232,900
1588,232,924
1589,233,1
1590,233,81
1591,233,432
1592,234,1
1593,234,126
1594,234,477
1595,235,1
1596,235,194
1597,235,310
1598,235,544
1599,235,662
1600,235,924
1601,236,712
1602,236,732
1603,236,760
1604,236,786
1605,236,813
1606,236,924
1607,237,715
1608,237,733
1609,237,761
1610,237,787
1611,237,801
1612,237,926
1613,238,0
1614,238,82
1615,238,195
1616,238,311
1617,238,433
1618,238,545
1619,238,663
1620,238,834
1621,238,883
1622,238,924
1623,239,714
1624,239,729
1625,239,783
