flexeme_id,inflection_class,lila_id_lemma,hasInflectionType,gender
a2090_765,65,89144,v3r,
a2112_766,0,89168,v1r,
a2117_767,23,89173,v5r,
a2117_768,64,89173,v5r,
a2118_769,33,89174,v3r,
a2124_770,3,89180,v3r,
a2128_771,99,89184,v6r,
a2134_772,137,89191,v5d,
a2135_773,10,89192,v2r,
a2141_774,132,89198,v3d,
a2150_775,85,89207,v3r,
a2157_776,138,89214,v3r,
a2157_777,138,89214,v3r,
a2164_778,0,89221,v2r,
a2165_779,139,89222,v3r,
a2176_780,140,89233,v1r,
a2176_781,140,89233,v1r,
a2177_782,72,89234,v1d,
a2180_783,76,89237,v4r,
a2183_784,94,89241,v3r,
a2183_785,94,89241,v3r,
a2184_786,0,89242,v1r,
a2185_787,0,89243,v1r,
a2225_788,1,89287,v1r,
a2252_789,1,89321,v1r,
a2261_790,0,89331,v1r,
a2270_791,141,89342,v3r,
a2278_792,3,89351,v3r,
a2285_793,17,89358,v4r,
a2285_794,17,89358,v4r,
a2299_795,72,89372,v1d,
a2302_796,142,89375,v3r,
a2302_797,142,89375,v3r,
a2303_798,0,89376,v1r,
a2303_799,0,89376,v1r,
a2317_800,3,89391,v3r,
a2322_801,67,89397,v4r,
a2327_802,0,89402,v1r,
a2364_803,72,89449,v1d,
a2365_804,143,89450,v3r,
a2365_805,144,89451,v5r,
a2384_806,53,89473,v1r,
a2384_807,,89473,v1r,
a2395_808,0,89485,v1r,
a2404_809,0,89494,v1r,
a2412_810,1,89504,v1r,
a2417_811,0,89509,v1r,
a2418_812,145,89510,v3r,
a2418_813,3,89510,v3r,
a2428_814,72,89523,v1d,
a2439_815,1,89534,v1r,
a2442_816,3,89538,v3r,
a2442_817,3,89538,v3r,
a2453_818,0,89552,v1r,
a2460_819,0,89559,v1r,
a2468_820,26,89567,v2r,
a2468_821,26,89567,v2r,
a2469_822,105,89568,v5r,
a2469_823,105,89568,v5r,
a2473_824,1,89572,v1r,
a2473_825,1,89572,v1r,
a2474_826,3,89573,v3r,
a2474_827,3,89573,v3r,
a2476_828,1,89575,v1r,
a2480_829,1,89579,v1r,
a2480_830,1,89579,v1r,
a2481_831,1,89580,v1r,
a2481_832,1,89580,v1r,
a2482_833,146,89581,v3r,
a2482_834,146,89581,v3r,
a2485_835,45,89584,v2r,
a2488_836,34,89587,v3r,
a2488_837,34,89587,v3r,
a2491_838,0,89590,v2r,
a2491_839,0,89590,v2r,
a2494_840,3,89593,v3r,
a2494_841,3,89593,v3r,
a2498_842,147,89597,v3r,
a2498_843,64,89597,v3r,
a2498_844,147,89597,v3r,
a2498_845,64,89597,v3r,
a2500_846,132,89599,v3d,
a2500_847,132,89599,v3d,
a2501_848,102,89600,v3r,
a2501_849,102,89600,v3r,
a2504_850,28,89603,v3r,
a2504_851,28,89603,v3r,
a2504_852,28,89603,v3r,
a2504_853,28,89603,v3r,
a2508_854,1,89607,v1r,
a2508_855,109,89607,v1r,
a2508_856,149,89607,v1r,
a2508_857,1,89607,v1r,
a2508_858,109,89607,v1r,
a2508_859,149,89607,v1r,
a2510_860,29,89610,v1r,
a2510_861,29,89610,v1r,
a2512_862,1,89612,v1r,
a2512_863,1,89612,v1r,
a2513_864,139,89613,v3r,
a2513_865,139,89613,v3r,
a2513_866,545,89613,v3r,
a2513_867,546,89613,v3r,
a2513_868,547,89613,v3r,
a2513_869,548,89613,v3r,
a2516_870,1,89616,v1r,
a2516_871,1,89616,v1r,
a2517_872,3,89617,v3r,
a2517_873,3,89617,v3r,
a2520_874,0,89620,v1r,
a2520_875,0,89620,v1r,
